| INDEX | MATRICULA    | Nombre/s             Apellido Paterno     Apellido Materno     | EDAD |            SEXO |
| 00000 | 000009824124 | Angele               Ramirez              Gonzales             | 0030 | NO_ESPECIFICADO |
| 00001 | 000009613587 | Azael                Espinoza             Guerrero             | 0037 |          HOMBRE |
| 00002 | 000009514605 | Roberto              Sanchez              Hernandez            | 0032 |          HOMBRE |
| 00003 | 000009483974 | Angele               Hernandez            Sanchez              | 0034 | NO_ESPECIFICADO |
| 00004 | 000009390087 | Angele               Gonzales             Gonzales             | 0025 | NO_ESPECIFICADO |
| 00005 | 000009320258 | Gonzale              Sanchez              Paz                  | 0020 | NO_ESPECIFICADO |
| 00006 | 000009135826 | Martina              Guerrero             Gonzales             | 0025 |           MUJER |
| 00007 | 000008956740 | Angela               Banda                Paz                  | 0037 |           MUJER |
| 00008 | 000008446872 | Angela               Paz                  Paz                  | 0019 |           MUJER |
| 00009 | 000008428461 | Pedro                Gonzales             Sanchez              | 0035 |          HOMBRE |
| 00010 | 000008379119 | Pedre                Gonzales             Banda                | 0025 | NO_ESPECIFICADO |
| 00011 | 000008332611 | Martin               Hernandez            Banda                | 0031 |          HOMBRE |
| 00012 | 000008322207 | Gonzale              Hernandez            Espinoza             | 0025 | NO_ESPECIFICADO |
| 00013 | 000008246978 | Angele               Banda                Guerrero             | 0029 | NO_ESPECIFICADO |
| 00014 | 000008203096 | Angele               Paz                  Banda                | 0031 | NO_ESPECIFICADO |
| 00015 | 000008191989 | Armando              Paz                  Guerrero             | 0020 |          HOMBRE |
| 00016 | 000008106283 | Martine              Gonzales             Ramirez              | 0032 | NO_ESPECIFICADO |
| 00017 | 000008018671 | Pedro                Paz                  Ramirez              | 0023 |          HOMBRE |
| 00018 | 000007991543 | Pedro                Sanchez              Espinoza             | 0029 |          HOMBRE |
| 00019 | 000007682241 | Angele               Hernandez            Hernandez            | 0035 | NO_ESPECIFICADO |
| 00020 | 000007619729 | Martine              Banda                Espinoza             | 0027 | NO_ESPECIFICADO |
| 00021 | 000007310262 | Pedra                Paz                  Hernandez            | 0023 |           MUJER |
